Country,C1 low,C1,C1 high,C2 low,C2,C2 high,C3 low,C3,C3 high,C4 low,C4,C4 high,C5 low,C5,C5 high,C6 low,C6,C6 high,C7 low,C7,C7 high,C8 low,C8,C8 high,C9 low,C9,C9 high
LT,6.88,8.6,10.32,10.72,13.4,16.080000000000002,842.4799999999999,1053.1,1263.7199999999998,5.279999999999999,6.6,7.92,804.0,1005,1206.0,38.4,48.0,57.6,58.824,73.53,88.236,8.08,10.1,12.12,2.7199999999999998,3.4,4.08
LU,1.6800000000000002,2.1,2.52,15.76,19.7,23.64,409.36,511.7,614.04,4.4,5.5,6.6,412.0,515,618.0,39.36,49.2,59.040000000000006,77.52000000000001,96.9,116.28,13.52,16.9,20.279999999999998,9.76,12.2,14.639999999999999
HU,13.52,16.9,20.279999999999998,9.76,12.2,14.639999999999999,563.4399999999999,704.3,845.16,4.96,6.2,7.44,1151.2,1439,1726.8,27.76,34.7,41.64,62.48,78.1,93.72,24.64,30.8,36.96,7.76,9.7,11.639999999999999
MT,1.28,1.6,1.9200000000000002,20.96,26.2,31.439999999999998,152.48,190.6,228.72,4.08,5.1,6.119999999999999,464.0,580,696.0,10.08,12.6,15.12,0.0,0.0,0.0,13.919999999999998,17.4,20.88,8.32,10.4,12.48
NL,1.1199999999999999,1.4,1.68,19.919999999999998,24.9,29.88,377.28000000000003,471.6,565.9200000000001,2.48,3.1,3.72,470.4,588,705.6,42.8,53.5,64.2,79.56,99.45,119.34,11.2,14.0,16.8,13.52,16.9,20.279999999999998
AT,3.3600000000000003,4.2,5.04,13.84,17.3,20.76,562.88,703.6,844.32,3.9200000000000004,4.9,5.880000000000001,523.2,654,784.8,46.08,57.6,69.12,79.8,99.75,119.7,17.6,22.0,26.4,9.92,12.4,14.88
PL,7.5200000000000005,9.4,11.280000000000001,10.4,13.0,15.6,499.12,623.9,748.68,6.4,8.0,9.6,1178.4,1473,1767.6,27.839999999999996,34.8,41.76,58.720000000000006,73.4,88.08000000000001,16.56,20.7,24.84,4.4799999999999995,5.6,6.72
PT,3.9200000000000004,4.9,5.880000000000001,18.48,23.1,27.720000000000002,496.96000000000004,621.2,745.44,4.4,5.5,6.6,419.2,524,628.8,24.72,30.9,37.08,67.712,84.64,101.568,7.68,9.6,11.52,6.24,7.8,9.36
RO,15.84,19.8,23.76,16.240000000000002,20.3,24.36,291.84000000000003,364.8,437.76,7.76,9.7,11.639999999999999,1084.8,1356,1627.2,10.72,13.4,16.080000000000002,35.04,43.8,52.559999999999995,17.36,21.7,26.04,11.28,14.1,16.92
SI,3.6,4.5,5.4,10.72,13.4,16.080000000000002,487.36,609.2,731.0400000000001,5.04,6.3,7.56,718.4,898,1077.6,44.480000000000004,55.6,66.72,50.576,63.22,75.864,10.959999999999999,13.7,16.439999999999998,6.8,8.5,10.2
SK,3.44,4.3,5.16,9.68,12.1,14.52,428.96000000000004,536.2,643.44,4.08,5.1,6.119999999999999,876.0,1095,1314.0,18.4,23.0,27.6,50.88,63.6,76.32000000000001,20.16,25.2,30.24,5.5200000000000005,6.9,8.280000000000001
FI,0.5599999999999999,0.7,0.84,9.6,12.0,14.4,1966.9599999999998,2458.7,2950.4399999999996,3.7600000000000002,4.7,5.640000000000001,240.0,300,360.0,33.6,42.0,50.4,67.2,84.0,100.8,14.0,17.5,21.0,5.2,6.5,7.8
SE,2.16,2.7,3.24,13.680000000000001,17.1,20.520000000000003,1875.0400000000002,2343.8,2812.5600000000004,2.16,2.7,3.24,222.4,278,333.6,38.72,48.4,58.08,76.0,95.0,114.0,15.6,19.5,23.4,10.16,12.7,15.239999999999998
